yearDay,greg,heb,parasha,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39
260,2027-06-25,20 Sivan,Behaalotecha,Torah 270 · KST § 284 (p. 164) · Aseh 33–34,צ Tzaddik · צך · set 12 · day 18 of 22,Chesed shebeMalchut · shebeYesod · day 43 of 49,ההה · 41 of 72 · חֵזִיר 17 · פָּנָיו,Spring · 78 of 91 · Shov · F4 letter 9 · Eicha 4:9 · ט,2nd cycle 7 · day 13 of 13 · Ve'rav Chesed,Cycle 7 · day 14 of 41 · Ruach 4 of 10 · The Sabbath,OC 519–520 · Orach Chaim · 519 of 728,Behaalotecha · D6 · P8 · C5,set 11 · 8/28 · Even HaEzer 132–133,Torah 270 · Zohar III 73–74,§ 284 (p. 164) · Behaalotecha,Aseh 33–34,LT Devarim · Folio 41 · day 288 of 364,Prayer 144 — first half · day 288 of 364,Temurah 7 &amp; Keritut 1 · Week 38 · Day 1,Proverbs 3 & 4 · Week 38 · Day 1,Tale 7 — The Fly and the Spider · cycle 20 · day 13 of 13,Sichos HaRan · §260 of 308 · day 260 of 369,OC 519–520 · half-days 519 & 520,Behaalotecha,Ben Ish Chai · Halachot,Se’if ב׳ · day 13 of 13,שְׁמַע יִשְׂרָאֵל ה׳ אֶלֹקֵינוּ ה׳ אֶחָד · דברים ו:ד,Even HaEzer 132–133 · with the Shulchan Aruch,Avodah Zarah · 12b · Sivan,Happiness — 14/20 · Happiness — 15/20,Story 71 · 72 · Behaalotecha,,Class 51 · of 118,Behaalotecha · Day 6,Day 260 · of 369,Chapter 7 · cycle 20,The Garden of Gratitude · cycle 7 of 13,Phase 7 · day 13 of 13,Ohr Ne’erav V · Ohr Ne’erav VI · Ohr Ne’erav VII · day 13 of 13,Megillah v'Chanukah · Ishut · Geirushin · set 11 of 14 · day 8 of 28,,Story 288 · Parshat Behaalotecha
261,2027-06-26,21 Sivan,Behaalotecha,Torah 271 · KST § 285–286 (p. 164) · Aseh 35–36,ק Kuf · קך · set 12 · day 19 of 22,Gevurah shebeMalchut · shebeYesod · day 44 of 49,מיכ · 42 of 72 · הַפִּצֵּץ 18 · פָּנָיו,Spring · 79 of 91 · Shov · F4 letter 10 · Eicha 4:10 · י,2nd cycle 8 · day 1 of 13 · Ve'emet,Cycle 7 · day 15 of 41 · Ruach 5 of 10 · Honor Parents,OC 521–522 · Orach Chaim · 521 of 728,Behaalotecha · D7 · P8 · C5,set 11 · 9/28 · Even HaEzer 134–135 · Behaalotecha,Torah 271 · Zohar III 75–76,§ 285–286 (p. 164) · Behaalotecha,Aseh 35–36,LT Devarim · Folio 42 · day 289 of 364,Prayer 144 — second half · day 289 of 364,Keritut 2 & 3 · Week 38 · Day 2,Proverbs 5 & 6 · Week 38 · Day 2,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 1 of 13,Sichos HaRan · §261 of 308 · day 261 of 369,OC 521–522 · half-days 521 & 522,Behaalotecha,Ben Ish Chai · Drash · Beha'alotcha · Drash,Se’if ג׳ · day 1 of 13,"בְּכָל דוֹר וָדוֹר חַיָיב אָדָם לִרְאוֹת אֶת עַצְמוֹ כְּאִלוּ הוּא יָצָא מִמִצְרָיִם · פסחים קטז,ב",Even HaEzer 134–135 · with the Shulchan Aruch,Avodah Zarah · 12b · Sivan,Happiness — 14/20 · Happiness — 15/20,Story 71 · 72 · Behaalotecha,,Class 52 · of 118,Sefer Yetzirah · 4:13–4:14,Day 261 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 1 of 13,Gate 1 · Gate 2 · Gate 3 · day 1 of 13,Yibum v'Chalitzah · Na'arah Betulah · Sotah · set 11 of 14 · day 9 of 28,,Story 289 · Parshat Behaalotecha
262,2027-06-27,22 Sivan,Shlach,Torah 272 · KST § 287 (p. 165) · Aseh 37–38,ר Reish · רך · set 12 · day 20 of 22,Tiferet shebeMalchut · shebeYesod · day 45 of 49,וול · 43 of 72 · פְּתַחְיָה 19 · פָּנָיו,Spring · 80 of 91 · Shov · F4 letter 11 · Eicha 4:11 · כ,2nd cycle 8 · day 2 of 13 · Ve'emet,Cycle 7 · day 16 of 41 · Ruach 6 of 10 · Do Not Murder,OC 523–524 · Orach Chaim · 523 of 728,Shlach · D1 · P1 · C6,set 11 · 10/28 · Even HaEzer 136–137 · Levirate Marriage 1,Torah 272 · Zohar III 77–78,§ 287 (p. 165) · Shlach,Aseh 37–38,LT Devarim · Folio 43 · day 290 of 364,Prayer 145 — first half · day 290 of 364,Keritut 4 & 5 · Week 38 · Day 3,Proverbs 7 & 8 · Week 38 · Day 3,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 2 of 13,Sichos HaRan · §262 of 308 · day 262 of 369,OC 523–524 · half-days 523 & 524,Shlach,Rav Pe’alim · Vol III · Yoreh Deah 11 · Vol III · Yoreh Deah 12,Se’if ד׳ · day 2 of 13,"כָּל יִשְׂרָאֵל יֵשׁ לָהֶם חֵלֶק לְעוֹלָם הַבָּא שֶׁנֶאֱמַר וְעַמֵךְ כּוּלָם צַדִיקִים לְעוֹלָם יִירְשׁוּ אָרֶץ נֵצֶר מַטָעַי מַעֲשֵׂה יָדַי לְהִתְפָּאֵר · סנהדרין צ,א",Even HaEzer 136–137 · Levirate Marriage 1 · with the Shulchan Aruch,Avodah Zarah · 12b · Sivan,Happiness — 16/20 · Happiness — 17/20,Story 73 · 74 · Shlach,,Class 53 · of 118,Shlach · Day 1,Day 262 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 2 of 13,Gate 4 · Gate 5 · Gate 6 · day 2 of 13,Issurei Biah · Ma'achalot Assurot · Shechitah · set 11 of 14 · day 10 of 28,,Story 290 · Parshat Shlach
263,2027-06-28,23 Sivan,Shlach,Torah 273 · KST § 288 (p. 166) · Aseh 39–40,ש Shin · שך · set 12 · day 21 of 22,Netzach shebeMalchut · shebeYesod · day 46 of 49,ילה · 44 of 72 · יְחֶזְקֵאל 20 · פָּנָיו,Spring · 81 of 91 · Shov · F4 letter 12 · Eicha 4:12 · ל,2nd cycle 8 · day 3 of 13 · Ve'emet,Cycle 7 · day 17 of 41 · Ruach 7 of 10 · Faithfulness,OC 525–526 · Orach Chaim · 525 of 728,Shlach · D2 · P1 · C6,set 11 · 11/28 · Even HaEzer 138–139,Torah 273 · Zohar III 79–80,§ 288 (p. 166) · Shlach,Aseh 39–40,LT Devarim · Folio 44 · day 291 of 364,Prayer 145 — second half · day 291 of 364,Keritut 6 &amp; Me'ilah 1 · Week 38 · Day 4,Proverbs 9 & 10 · Week 38 · Day 4,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 3 of 13,Sichos HaRan · §263 of 308 · day 263 of 369,OC 525–526 · half-days 525 & 526,Shlach,Rav Pe’alim · Vol III · Yoreh Deah 13 · Vol III · Yoreh Deah 14,Se’if ה׳ · day 3 of 13,כִּי קָרוֹב אֵלֶיךָ הַדָבָר מְאֹד בְּפִיךָ וּבִּלְבָבְךָ לַעֲשׂוֹתוֹ · דברים ל:יד,Even HaEzer 138–139 · with the Shulchan Aruch,Avodah Zarah · 12b · Sivan,Happiness — 16/20 · Happiness — 17/20,Story 73 · 74 · Shlach,,Class 54 · of 118,Shlach · Day 2,Day 263 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 3 of 13,Gate 7 · Gate 8 · Gate 9 · day 3 of 13,Shevuot · Nedarim · Nezirut · set 11 of 14 · day 11 of 28,,Story 291 · Parshat Shlach
264,2027-06-29,24 Sivan,Shlach,Torah 274 · KST § 289 (p. 166) · Aseh 41–42,ת Tav · תך · set 12 · day 22 of 22,Hod shebeMalchut · shebeYesod · day 47 of 49,סאל · 45 of 72 · יָכִין 21 · פָּנָיו,Spring · 82 of 91 · Shov · F4 letter 13 · Eicha 4:13 · מ,2nd cycle 8 · day 4 of 13 · Ve'emet,Cycle 7 · day 18 of 41 · Ruach 8 of 10 · Do Not Steal,OC 527–528 · Orach Chaim · 527 of 728,Shlach · D3 · P1 · C6,set 11 · 12/28 · Even HaEzer 140–141,Torah 274 · Zohar III 81–82,§ 289 (p. 166) · Shlach,Aseh 41–42,LT Devarim · Folio 45 · day 292 of 364,Prayer 146 — first half · day 292 of 364,Me'ilah 2 & 3 · Week 38 · Day 5,Proverbs 11 & 12 · Week 38 · Day 5,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 4 of 13,Sichos HaRan · §264 of 308 · day 264 of 369,OC 527–528 · half-days 527 & 528,Shlach,Rav Pe’alim · Vol III · Yoreh Deah 15 · Vol III · Yoreh Deah 16,Se’if ו׳ · day 4 of 13,וְהִנֵה ה׳ נִצָב עָלָיו וּמְלֹא כָל הָאָרֶץ כּבוֹדוֹ וּמַבִּיט עָלָיו וּבוֹחֵן כְּלָיוֹת וָלֵב אִם עוֹבְדוֹ כָּרָאוּי · תניא פרק מא,Even HaEzer 140–141 · with the Shulchan Aruch,Avodah Zarah · 12b · Sivan,Happiness — 16/20 · Happiness — 17/20,Story 73 · 74 · Shlach,,Class 55 · of 118,Shlach · Day 3,Day 264 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 4 of 13,Gate 10 · Gate 11 · Gate 12 · day 4 of 13,Erchin v'Charamin · Kilayim · Matnot Aniyim · set 11 of 14 · day 12 of 28,,Story 292 · Parshat Shlach
265,2027-06-30,25 Sivan,Shlach,Torah 275 · KST § 290 (p. 167) · Aseh 43–44,א Alef · אם · set 13 · day 1 of 22,Yesod shebeMalchut · shebeYesod · day 48 of 49,ערי · 46 of 72 · גָּמוּל 22 · פָּנָיו,Spring · 83 of 91 · Shov · F4 letter 14 · Eicha 4:14 · נ,2nd cycle 8 · day 5 of 13 · Ve'emet,Cycle 7 · day 19 of 41 · Ruach 9 of 10 · Truth / No False Witness,OC 529–530 · Orach Chaim · 529 of 728,Shlach · D4 · P1 · C6,set 11 · 13/28 · Even HaEzer 142–143,Torah 275 · Zohar III 83–84,§ 290 (p. 167) · Shlach,Aseh 43–44,LT Devarim · Folio 46 · day 293 of 364,Prayer 146 — second half · day 293 of 364,"Tosefta Temurah 4 &amp; Tosefta Keritut 1, 2, 3 · Week 38 · Day 6",Proverbs 13 & 14 · Week 38 · Day 6,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 5 of 13,Sichos HaRan · §265 of 308 · day 265 of 369,OC 529–530 · half-days 529 & 530,Shlach,Rav Pe’alim · Vol III · Yoreh Deah 17 · Vol III · Yoreh Deah 18,Se’if ז׳ · day 5 of 13,בְּרֵאשִׁית בָּרָא אֶלֹקִים אֵת הַשָׁמַיִם וְאֵת הָאָרֶץ · בראשית א:א,Even HaEzer 142–143 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 16/20 · Happiness — 17/20,Story 73 · 74 · Shlach,,Class 56 · of 118,Shlach · Day 4,Day 265 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 5 of 13,Gate 13 · Gate 14 · Gate 15 · day 5 of 13,Terumot · Ma'aserot · Ma'aser Sheni v'Neta Revai · set 11 of 14 · day 13 of 28,,Story 293 · Parshat Shlach
266,2027-07-01,26 Sivan,Shlach,Torah 276 · KST § 291 (p. 167) · Aseh 45–46,ב Bet · בם · set 13 · day 2 of 22,Malchut shebeMalchut · shebeYesod · day 49 of 49,עשל · 47 of 72 · דְּלָיָהוּ 23 · פָּנָיו,Spring · 84 of 91 · Shov · F4 letter 15 · Eicha 4:15 · ס,2nd cycle 8 · day 6 of 13 · Ve'emet,Cycle 7 · day 20 of 41 · Ruach 10 of 10 · Do Not Covet,OC 531–532 · Orach Chaim · 531 of 728,Shlach · D5 · P1 · C6,set 11 · 14/28 · Even HaEzer 144–145 · Levirate Marriage 2,Torah 276 · Zohar III 85–88,§ 291 (p. 167) · Shlach,Aseh 45–46,LT Devarim · Folio 47 · day 294 of 364,Prayer 147 — first half · day 294 of 364,"Tosefta Keritut 4 &amp; Tosefta Me'ilah 1, 2, 3 · Week 38 · Day 7",Proverbs 15 & 16 · Week 38 · Day 7,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 6 of 13,Sichos HaRan · §266 of 308 · day 266 of 369,OC 531–532 · half-days 531 & 532,Shlach,Rav Pe’alim · Vol III · Yoreh Deah 19 · Vol III · Yoreh Deah 20,Se’if ח׳ · day 6 of 13,וְשִׁנַנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ · דברים ו:ז,Even HaEzer 144–145 · Levirate Marriage 2 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 16/20 · Happiness — 17/20,Story 73 · 74 · Shlach,,Class 57 · of 118,Shlach · Day 5,Day 266 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 6 of 13,Gate 16 · Gate 17 · Gate 18 · day 6 of 13,Bikkurim · Shemitah v'Yovel · Beit HaBechirah · set 11 of 14 · day 14 of 28,,Story 294 · Parshat Shlach
267,2027-07-02,27 Sivan,Shlach,Torah 277 · KST § 292 (p. 167) · Aseh 47–48,ג Gimmel · גם · set 13 · day 3 of 22,Chesed shebeChesed · shebeMalchut · day 1 of 49,מיה · 48 of 72 · מַעַזְיָהוּ 24 · פָּנָיו,Spring · 85 of 91 · Shov · F4 letter 16 · Eicha 4:16 · פ,2nd cycle 8 · day 7 of 13 · Ve'emet,Cycle 7 · day 21 of 41 · Neshamah 1 of 10 · I Am the Lord,OC 533–534 · Orach Chaim · 533 of 728,Shlach · D6 · P1 · C6,set 11 · 15/28 · Even HaEzer 146–147,Torah 277 · Zohar III 89–90,§ 292 (p. 167) · Shlach,Aseh 47–48,LT Devarim · Folio 48 · day 295 of 364,Prayer 147 — second half · day 295 of 364,Me'ilah 4 & 5 · Week 39 · Day 1,Proverbs 17 & 18 · Week 39 · Day 1,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 7 of 13,Sichos HaRan · §267 of 308 · day 267 of 369,OC 533–534 · half-days 533 & 534,Shlach,Ben Ish Chai · Halachot,Se’if ט׳ · day 7 of 13,"יָגַעְתִּי וְלֹא מָצָאתִי אַל תַּאַמִין לֹא יָגַעְתִּי וּמָצָאתִי אַל תַּאַמִין יָגַעְתִּי וּמָצָאתִי תַּאַמִין · מגילה ו,ב",Even HaEzer 146–147 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 16/20 · Happiness — 17/20,Story 73 · 74 · Shlach,,Class 58 · of 118,Shlach · Day 6,Day 267 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 7 of 13,Gate 19 · Gate 20 · Gate 21 · day 7 of 13,Klei HaMikdash · Biat HaMikdash · Issurei Mizbe'ach · set 11 of 14 · day 15 of 28,,Story 295 · Parshat Shlach
268,2027-07-03,28 Sivan,Shlach,Torah 278 · KST § 293–294 (p. 168) · Aseh 49–50,ד Dalet · דם · set 13 · day 4 of 22,Gevurah shebeChesed · shebeMalchut · day 2 of 49,והו · 49 of 72 · יְהוֹיָרִיב 1 · אֵלֶיךָ,Spring · 86 of 91 · Shov · F4 letter 17 · Eicha 4:17 · ע,2nd cycle 8 · day 8 of 13 · Ve'emet,Cycle 7 · day 22 of 41 · Neshamah 2 of 10 · No Other Gods,OC 535–536 · Orach Chaim · 535 of 728,Shlach · D7 · P1 · C6,set 11 · 16/28 · Even HaEzer 148–149 · Shlach,Torah 278 · Zohar III 91–92,§ 293–294 (p. 168) · Shlach,Aseh 49–50,LT Devarim · Folio 49 · day 296 of 364,Prayer 148 — first half · day 296 of 364,Me'ilah 6 &amp; Tamid 1 · Week 39 · Day 2,Proverbs 19 & 20 · Week 39 · Day 2,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 8 of 13,Sichos HaRan · §268 of 308 · day 268 of 369,OC 535–536 · half-days 535 & 536,Shlach,Ben Ish Chai · Drash · Sh'lach · Drash,Se’if י׳ · day 8 of 13,וְאָהַבְתָּ לְרֵעַךָ כָּמוֹךָ – רַבִּי עַקִיבָא אוֹמֵר זֶה כְּלָל גָדוֹל בַּתּוֹרָה · ויקרא יט:יח,Even HaEzer 148–149 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 16/20 · Happiness — 17/20,Story 73 · 74 · Shlach,,Class 59 · of 118,Sefer Yetzirah · 4:15–4:16,Day 268 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 8 of 13,Gate 22 · Gate 23 · Gate 24 · day 8 of 13,Ma'aseh HaKorbanot · Temidin u'Musafin · Pesulei HaMukdash · set 11 of 14 · day 16 of 28,,Story 296 · Parshat Shlach
269,2027-07-04,29 Sivan,Korach,Torah 279 · KST § 295 (p. 169) · Aseh 51–52,ה Heh · הם · set 13 · day 5 of 22,Tiferet shebeChesed · shebeMalchut · day 3 of 49,דני · 50 of 72 · יְדַעְיָה 2 · אֵלֶיךָ,Spring · 87 of 91 · Shov · F4 letter 18 · Eicha 4:18 · צ,2nd cycle 8 · day 9 of 13 · Ve'emet,Cycle 7 · day 23 of 41 · Neshamah 3 of 10 · Not to Profane G-d's Name,OC 537–538 · Orach Chaim · 537 of 728,Korach · D1 · P2 · C6,set 11 · 17/28 · Even HaEzer 150–151,Torah 279 · Zohar III 93–94,§ 295 (p. 169) · Korach,Aseh 51–52,LT Devarim · Folio 50 · day 297 of 364,Prayer 148 — second half · day 297 of 364,Tamid 2 & 3 · Week 39 · Day 3,Proverbs 21 & 22 · Week 39 · Day 3,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 9 of 13,Sichos HaRan · §269 of 308 · day 269 of 369,OC 537–538 · half-days 537 & 538,Korach,Rav Pe’alim · Vol III · Yoreh Deah 21 · Vol III · Yoreh Deah 22,Se’if י״א · day 9 of 13,וְזֶה כָּל הָאָדָם וְתַכְלִית בְּרִיאָתוֹ וּבְרִיאַת כָּל הָעוֹלָמוֹת עֶלְיוֹנִים וְתַּחְתּוֹנִים לִהְיוֹת לוֹ דִירָה זוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Even HaEzer 150–151 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 18/20 · Happiness — 19/20,Story 75 · 76 · Korach,,Class 60 · of 118,Korach · Day 1,Day 269 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 9 of 13,Gate 25 · Gate 26 · Gate 27 · day 9 of 13,Avodat Yom HaKippurim · Me'ilah · Korban Pesach · set 11 of 14 · day 17 of 28,,Story 297 · Parshat Korach
270,2027-07-05,30 Sivan,Korach,Torah 280 · KST § 296 (p. 170) · Aseh 53–54,ו Vav · ום · set 13 · day 6 of 22,Netzach shebeChesed · shebeMalchut · day 4 of 49,החש · 51 of 72 · חָרִם 3 · אֵלֶיךָ,Spring · 88 of 91 · Shov · F4 letter 19 · Eicha 4:19 · ק,2nd cycle 8 · day 10 of 13 · Ve'emet,Cycle 7 · day 24 of 41 · Neshamah 4 of 10 · The Sabbath,OC 539–540 · Orach Chaim · 539 of 728,Korach · D2 · P2 · C6,set 11 · 18/28 · Even HaEzer 152–153 · Levirate Marriage 3,Torah 280 · Zohar III 95–96,§ 296 (p. 170) · Korach,Aseh 53–54,LT Devarim · Folio 51 · day 298 of 364,Prayer 149 — first half · day 298 of 364,Tamid 4 & 5 · Week 39 · Day 4,Proverbs 23 & 24 · Week 39 · Day 4,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 10 of 13,Sichos HaRan · §270 of 308 · day 270 of 369,OC 539–540 · half-days 539 & 540,Korach,Rav Pe’alim · Vol III · Yoreh Deah 23 · Vol III · Yoreh Deah 24,Se’if י״ב · day 10 of 13,יִשְׂמַח יִשְׂרָאֵל בְּעוֹשָׂיו פֵּירוּש שֶׁכָּל מִי שֶׁהוּא מִזֶרַע יִשְׂרָאֵל יֵשׁ לוֹ לִשְׂמוֹחַ בְּשִׂמְחַת ה׳ אַשֶׁר שָׂשׂ וְשָׂמֵחַ בְּדִירָתוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Even HaEzer 152–153 · Levirate Marriage 3 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 18/20 · Happiness — 19/20,Story 75 · 76 · Korach,,Class 61 · of 118,Korach · Day 2,Day 270 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 10 of 13,Gate 28 · Gate 29 · Gate 30 · day 10 of 13,Chagigah · Bechorot · Shegagot · set 11 of 14 · day 18 of 28,,Story 298 · Parshat Korach
271,2027-07-06,1 Tammuz,Korach,Torah 281 · KST § 297 (p. 171) · Aseh 55–56,ז Zayin · זם · set 13 · day 7 of 22,Hod shebeChesed · shebeMalchut · day 5 of 49,עמם · 52 of 72 · שְׂעֹרִים 4 · אֵלֶיךָ,Spring · 89 of 91 · Shov · F4 letter 20 · Eicha 4:20 · ר,2nd cycle 8 · day 11 of 13 · Ve'emet,Cycle 7 · day 25 of 41 · Neshamah 5 of 10 · Honor Parents,OC 541–542 · Orach Chaim · 541 of 728,Korach · D3 · P2 · C6,set 11 · 19/28 · Even HaEzer 154–155,Torah 281 · Zohar III 97–98,§ 297 (p. 171) · Korach,Aseh 55–56,LT Devarim · Folio 52 · day 299 of 364,Prayer 149 — second half · day 299 of 364,Tamid 6 & 7 · Week 39 · Day 5,Proverbs 25 & 26 · Week 39 · Day 5,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 11 of 13,Sichos HaRan · §271 of 308 · day 271 of 369,OC 541–542 · half-days 541 & 542,Korach,Rav Pe’alim · Vol III · Yoreh Deah 25 · Vol III · Yoreh Deah 26,Overview · day 11 of 13,"All twelve · Mivtza Chinuch, 5736",Even HaEzer 154–155 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 18/20 · Happiness — 19/20,Story 75 · 76 · Korach,,Class 62 · of 118,Korach · Day 3,Day 271 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 11 of 13,Gate 31 · Gate 32 · Ohr Ne’erav I · day 11 of 13,Mechusrei Kapparah · Temurah · Tumat Met · set 11 of 14 · day 19 of 28,,Story 299 · Parshat Korach
272,2027-07-07,2 Tammuz,Korach,Torah 282 · KST § 298 (p. 172) · Aseh 57–58,ח Chet · חם · set 13 · day 8 of 22,Yesod shebeChesed · shebeMalchut · day 6 of 49,ננא · 53 of 72 · מַלְכִּיָּה 5 · אֵלֶיךָ,Spring · 90 of 91 · Shov · F4 letter 21 · Eicha 4:21 · ש,2nd cycle 8 · day 12 of 13 · Ve'emet,Cycle 7 · day 26 of 41 · Neshamah 6 of 10 · Do Not Murder,OC 543–544 · Orach Chaim · 543 of 728,Korach · D4 · P2 · C6,set 11 · 20/28 · Even HaEzer 156–157,Torah 282 · Zohar III 99–100,§ 298 (p. 172) · Korach,Aseh 57–58,LT Devarim · Folio 53 · day 300 of 364,Prayer 150 — first half · day 300 of 364,"Tosefta Kelim Bava Kama 1, 2, 3, 4 · Week 39 · Day 6",Proverbs 27 & 28 · Week 39 · Day 6,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 12 of 13,Sichos HaRan · §272 of 308 · day 272 of 369,OC 543–544 · half-days 543 & 544,Korach,Rav Pe’alim · Vol III · Yoreh Deah 27 · Vol III · Yoreh Deah 28,Se’if א׳ · day 12 of 13,תּוֹרָה צִוָה לָנוּ מֹשֶׁה מוֹרָשָׁה קְהִלַת יַעֲקֹב · דברים לג:ד,Even HaEzer 156–157 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 18/20 · Happiness — 19/20,Story 75 · 76 · Korach,,Class 63 · of 118,Korach · Day 4,Day 272 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 12 of 13,Ohr Ne’erav II · Ohr Ne’erav III · Ohr Ne’erav IV · day 12 of 13,Parah Adumah · Tumat Tzara'at · Metamei Mishkav u'Moshav · set 11 of 14 · day 20 of 28,,Story 300 · Parshat Korach
273,2027-07-08,3 Tammuz,Korach,Tinyana 1 · KST § 299 (p. 172) · Aseh 59–60,ט Tet · טם · set 13 · day 9 of 22,Malchut shebeChesed · shebeMalchut · day 7 of 49,נית · 54 of 72 · מִיָּמִן 6 · אֵלֶיךָ,Spring · 91 of 91 · Shov · F4 letter 22 · Eicha 4:22 · ת,2nd cycle 8 · day 13 of 13 · Ve'emet,Cycle 7 · day 27 of 41 · Neshamah 7 of 10 · Faithfulness,OC 545–546 · Orach Chaim · 545 of 728,Korach · D5 · P2 · C6,set 11 · 21/28 · Even HaEzer 158–159,Tinyana 1 · Zohar III 101–104,§ 299 (p. 172) · Korach,Aseh 59–60,LT Devarim · Folio 54 · day 301 of 364,Prayer 150 — second half · day 301 of 364,"Tosefta Kelim Bava Kama 5, 6, 7 &amp; Tosefta Kelim Bava Metzia 1 · Week 39 · Day 7",Proverbs 29 & 30 · Week 39 · Day 7,Tale 8 — The Rabbi and His Only Son · cycle 21 · day 13 of 13,Sichos HaRan · §273 of 308 · day 273 of 369,OC 545–546 · half-days 545 & 546,Korach,Rav Pe’alim · Vol III · Yoreh Deah 29 · Vol III · Yoreh Deah 30,Se’if ב׳ · day 13 of 13,שְׁמַע יִשְׂרָאֵל ה׳ אֶלֹקֵינוּ ה׳ אֶחָד · דברים ו:ד,Even HaEzer 158–159 · with the Shulchan Aruch,Horayot · 13a · Tammuz,Happiness — 18/20 · Happiness — 19/20,Story 75 · 76 · Korach,,Class 64 · of 118,Korach · Day 5,Day 273 · of 369,Chapter 8 · cycle 21,The Garden of Education · cycle 8 of 13,Phase 8 · day 13 of 13,Ohr Ne’erav V · Ohr Ne’erav VI · Ohr Ne’erav VII · day 13 of 13,She'ar Avot HaTumot · Tumat Ochlin · Kelim · set 11 of 14 · day 21 of 28,,Story 301 · Parshat Korach
